,,baseline,baseline
,,MAE,RMSE
baseline,ID,,
NP_structural_break_10.0,3,0.8668441772460938,1.3470766894507742
NP_structural_break_10.0,4,0.8668441772460938,1.3470766894507742
NP_structural_break_10.0,5,0.8668441772460938,1.3470766894507742
NP_structural_break_10.0,6,0.8668441772460938,1.3470766894507742
NP_structural_break_10.0,7,0.8668441772460938,1.3470766894507742
NP_structural_break_10.0,8,0.8668441772460938,1.3470766894507742
NP_structural_break_10.0,9,0.8668441772460938,1.3470766894507742
NP_structural_break_2.0,0,0.9528637528419495,1.3032592905497493
NP_structural_break_2.0,1,0.9528637528419495,1.3032592905497493
NP_structural_break_2.0,2,0.9528637528419495,1.3032592905497493
NP_structural_break_2.0,3,0.9528637528419495,1.3032592905497493
NP_structural_break_2.0,4,0.9528637528419495,1.3032592905497493
NP_structural_break_2.0,5,0.9528637528419495,1.3032592905497493
NP_structural_break_2.0,6,0.9528637528419495,1.3032592905497493
NP_structural_break_2.0,7,0.9528637528419495,1.3032592905497493
NP_structural_break_2.0,8,0.9528637528419495,1.3032592905497493
NP_structural_break_2.0,9,0.9528637528419495,1.3032592905497493
NP_structural_break_3.0,0,0.9296495914459229,1.3172404648527478
NP_structural_break_3.0,1,0.9296495914459229,1.3172404648527478
NP_structural_break_3.0,2,0.9296495914459229,1.3172404648527478
NP_structural_break_3.0,3,0.9296495914459229,1.3172404648527478
NP_structural_break_3.0,4,0.9296495914459229,1.3172404648527478
NP_structural_break_3.0,5,0.9296495914459229,1.3172404648527478
NP_structural_break_3.0,6,0.9296495914459229,1.3172404648527478
NP_structural_break_3.0,7,0.9296495914459229,1.3172404648527478
NP_structural_break_3.0,8,0.9296495914459229,1.3172404648527478
NP_structural_break_3.0,9,0.9296495914459229,1.3172404648527478
NP_structural_break_4.0,0,0.9120872020721436,1.3258043546804514
NP_structural_break_4.0,1,0.9120872020721436,1.3258043546804514
NP_structural_break_4.0,2,0.9120872020721436,1.3258043546804514
NP_structural_break_4.0,3,0.9120872020721436,1.3258043546804514
NP_structural_break_4.0,4,0.9120872020721436,1.3258043546804514
NP_structural_break_4.0,5,0.9120872020721436,1.3258043546804514
NP_structural_break_4.0,6,0.9120872020721436,1.3258043546804514
NP_structural_break_4.0,7,0.9120872020721436,1.3258043546804514
NP_structural_break_4.0,8,0.9120872020721436,1.3258043546804514
NP_structural_break_4.0,9,0.9120872020721436,1.3258043546804514
NP_structural_break_5.0,0,0.8990923166275024,1.3318996867877413
NP_structural_break_5.0,1,0.8990923166275024,1.3318996867877413
NP_structural_break_5.0,2,0.8990923166275024,1.3318996867877413
NP_structural_break_5.0,3,0.8990923166275024,1.3318996867877413
NP_structural_break_5.0,4,0.8990923166275024,1.3318996867877413
NP_structural_break_5.0,5,0.8990923166275024,1.3318996867877413
NP_structural_break_5.0,6,0.8990923166275024,1.3318996867877413
NP_structural_break_5.0,7,0.8990923166275024,1.3318996867877413
NP_structural_break_5.0,8,0.8990923166275024,1.3318996867877413
NP_structural_break_5.0,9,0.8990923166275024,1.3318996867877413
NP_structural_break_6.0,0,0.889301061630249,1.3364768473214224
NP_structural_break_6.0,1,0.889301061630249,1.3364768473214224
