model,norm_mode,scaler,weighted,MAE,RMSE,MASE,exp_id,data_group_id,scaling_level,norm_type,norm_affine
LightGBMModel,none,PowerTransformer(),None,0.3085,0.3883,0.5058,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_dataset,None,False
LightGBMModel,none,QuantileTransformer(output_distribution='normal'),None,0.3069,0.3857,0.5033,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,QuantileTransformer(output_distribution='normal'),std,0.3069,0.3857,0.5033,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,QuantileTransformer(output_distribution='normal'),None,0.3106,0.3908,0.5093,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_dataset,None,False
LightGBMModel,none,LogTransformer(),None,0.2709,0.3491,0.5152,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,LogTransformer(),std,0.2709,0.3491,0.5152,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,LogTransformer(),None,0.2709,0.3491,0.5152,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_dataset,None,False
LightGBMModel,none,None,None,0.4121,0.5176,0.8644,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,None,None,False
LightGBMModel,none,StandardScaler(),None,0.4127,0.5185,0.8655,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,StandardScaler(),std,0.4127,0.5185,0.8655,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,StandardScaler(),None,0.412,0.516,0.864,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_dataset,None,False
LightGBMModel,none,MinMaxScaler(),None,0.4121,0.516,0.8643,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,MinMaxScaler(),std,0.4121,0.516,0.8643,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,MinMaxScaler(),None,0.4097,0.5149,0.8592,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_dataset,None,False
LightGBMModel,none,"RobustScaler(quantile_range=(5, 95))",None,0.4125,0.517,0.8651,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,"RobustScaler(quantile_range=(5, 95))",std,0.4125,0.517,0.8651,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,"RobustScaler(quantile_range=(5, 95))",None,0.4137,0.5196,0.8676,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_dataset,None,False
LightGBMModel,none,PowerTransformer(),None,0.413,0.5188,0.8663,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,PowerTransformer(),std,0.413,0.5188,0.8663,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,PowerTransformer(),None,0.4143,0.5202,0.8689,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_dataset,None,False
LightGBMModel,none,QuantileTransformer(output_distribution='normal'),None,0.4069,0.5084,0.8534,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,QuantileTransformer(output_distribution='normal'),std,0.4069,0.5084,0.8534,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,QuantileTransformer(output_distribution='normal'),None,0.4112,0.515,0.8623,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_dataset,None,False
LightGBMModel,none,LogTransformer(),None,0.3769,0.483,0.8421,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,LogTransformer(),std,0.3769,0.483,0.8421,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,LogTransformer(),None,0.3769,0.483,0.8421,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_dataset,None,False
LightGBMModel,none,None,None,0.3371,0.4223,0.8755,"gen_one_shape_heteroscedacity_LGBM_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,None,None,False
LightGBMModel,none,StandardScaler(),None,0.3379,0.4236,0.8777,"gen_one_shape_heteroscedacity_LGBM_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,StandardScaler(),std,0.3379,0.4236,0.8777,"gen_one_shape_heteroscedacity_LGBM_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,StandardScaler(),None,0.3347,0.4188,0.8693,"gen_one_shape_heteroscedacity_LGBM_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_dataset,None,False
LightGBMModel,none,MinMaxScaler(),None,0.3378,0.4224,0.8775,"gen_one_shape_heteroscedacity_LGBM_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,MinMaxScaler(),std,0.3378,0.4224,0.8775,"gen_one_shape_heteroscedacity_LGBM_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
