,MAE,RMSE
Naive_amplitude_7.0,2.7685396283089165,2.77857374998085
Naive_amplitude_8.0,2.7685213302550107,2.778473257109559
Naive_amplitude_9.0,2.768384793542649,2.77847252972415
Naive_heteroscedasticity_0.0,3.4913527717908623,3.4374155224187652
Naive_heteroscedasticity_1.0,3.803554516226289,3.6750667799390073
Naive_heteroscedasticity_2.0,3.9996190101463402,3.806432872818357
Naive_heteroscedasticity_3.0,4.13413317810638,3.8896120762069195
Naive_heteroscedasticity_4.0,4.2321581484898365,3.9467941364045354
Naive_heteroscedasticity_5.0,4.306828786323953,3.988382791136029
Naive_heteroscedasticity_6.0,4.365550021818241,4.0200740661962175
Naive_heteroscedasticity_7.0,4.4128969369920625,4.044864526677701
Naive_heteroscedasticity_8.0,4.451916780854558,4.064760032210965
Naive_heteroscedasticity_9.0,4.484755065001007,4.08115545242559
Naive_offset_0.0,2.7927359570991506,2.7959278423300904
Naive_offset_1.0,2.792733397562209,2.7959263178678744
Naive_offset_2.0,2.7927340010298463,2.7959269956579114
Naive_offset_3.0,2.7927342507406685,2.7959265445731485
Naive_offset_4.0,2.7927337097006095,2.7959261300262788
Naive_offset_5.0,2.7927357698158013,2.7959275464143962
Naive_offset_6.0,2.792732877331697,2.795925895146378
Naive_offset_7.0,2.7927353328214153,2.7959274379792243
Naive_offset_8.0,2.792733917792915,2.7959269443048673
Naive_offset_9.0,2.7927345212607766,2.7959265311399535
Naive_structural_break_0.0,3.7682639404069644,3.540700469964555
Naive_structural_break_1.0,4.10518622472174,3.704074258715372
Naive_structural_break_2.0,4.339941716226189,3.788356008115729
Naive_structural_break_3.0,4.5130164010181995,3.837245313928011
Naive_structural_break_4.0,4.645856804233361,3.8681363241586904
Naive_structural_break_5.0,4.751058550701205,3.888830278377018
Naive_structural_break_6.0,4.836390575459654,3.903325488918395
Naive_structural_break_7.0,4.906993735232858,3.914021711094121
Naive_structural_break_8.0,4.966445828747803,3.922019718612281
Naive_structural_break_9.0,5.017136571754946,3.9281157393014032
Naive_trend_0.0,2.792735103919649,2.795927380197688
Naive_trend_1.0,2.792734854208674,2.7959270588346934
Naive_trend_2.0,2.7927362484288563,2.7959278447854095
Naive_trend_3.0,2.7927326900487603,2.795924936838228
Naive_trend_4.0,2.7927342299314315,2.795926732247503
Naive_trend_5.0,2.7927363732844626,2.7959281927580024
Naive_trend_6.0,2.7927347501624475,2.795926726873162
Naive_trend_7.0,2.792735853052842,2.7959274827327696
Naive_trend_8.0,2.7927357073880232,2.796027514118205
Naive_trend_9.0,2.792734146694487,2.7960267534824252
RNN_amplitude_0.0,1.6038855116196107,1.6030306322105023
RNN_amplitude_1.0,1.6079615459814616,1.612906247755947
RNN_amplitude_2.0,1.607117255096393,1.6124031644168761
RNN_amplitude_3.0,1.6077828360032005,1.6131017945148092
